;SIGLA_UF_PV;NOME_MUNICIPIO_PV;NOTA_LINGUAGENS;NOTA_HUMANAS;NOTA_MATEMATICA;NOTA_NATUREZA;NOTA_REDAC;CIDADE/UF;LAT;LON
1641;SP;Pederneiras;533.7654377880185;547.6465437788019;571.7842857142857;512.0938095238095;649.5852534562212;Pederneiras, SP;-22.351086;-48.778113
1642;SP;Pedreira;517.3400943396226;529.3382075471698;566.2787878787879;505.8984848484848;606.6037735849056;Pedreira, SP;-22.741347;-46.894846
1643;SP;Penápolis;531.4127516778524;547.8064876957494;561.6709302325581;515.8025581395349;654.7203579418344;Penápolis, SP;-21.4192406;-50.0765588
1644;SP;Pereira Barreto;508.7076923076923;521.1212669683258;542.262380952381;492.2157142857143;604.7963800904978;Pereira Barreto, SP;-20.6378509;-51.1052172
1645;SP;Peruíbe;510.2496226415094;522.3379245283019;543.055081300813;494.2079268292683;592.8679245283018;Peruíbe, SP;-24.3218105;-46.9977452
1646;SP;Piedade;519.1847094801223;539.0308868501529;559.1598705501618;510.4825242718447;613.7003058103976;Piedade, SP;-23.7074096;-47.4252319
1647;SP;Pilar do Sul;516.2083700440529;531.684140969163;571.2953488372093;500.1144186046512;617.4449339207049;Pilar do Sul, SP;-23.8121684;-47.7201865
1648;SP;Pindamonhangaba;533.61425389755;544.1692650334076;574.0191193511008;513.873348783314;647.6837416481069;Pindamonhangaba, SP;-22.9340165;-45.462938
1649;SP;Piracicaba;542.3088261515602;561.2050222882615;591.5570276140243;531.340738442445;664.1248142644873;Piracicaba, SP;-22.72528;-47.64917
1650;SP;Piraju;524.4075892857143;541.0113839285715;565.9264637002342;501.84473067915695;610.8482142857143;Piraju, SP;-23.1897822;-49.3840493
1651;SP;Pirajuí;509.76463414634145;520.5920731707317;543.2694805194806;490.0467532467532;611.219512195122;Pirajuí, SP;-21.9957877;-49.4549675
1652;SP;Pirassununga;538.8957472660996;559.0245443499392;591.1834170854271;534.5987437185929;680.7290400972054;Pirassununga, SP;-21.9980468;-47.4280861
1653;SP;Pitangueiras;510.4054347826087;519.9978260869566;546.7682080924856;486.6335260115607;613.4782608695652;Pitangueiras, SP;-21.013203;-48.220951
1654;SP;Pontal;497.29013605442174;511.487074829932;532.1010638297872;483.4322695035461;619.5918367346939;Pontal, SP;-21.0239714;-48.0393457
1655;SP;Porto Feliz;523.433484162896;538.90407239819;561.7334975369458;503.0945812807882;613.393665158371;Porto Feliz, SP;-23.2125392;-47.5240065
1656;SP;Porto Ferreira;538.2158850226929;554.2077155824508;591.906907378336;524.8210361067504;671.0438729198185;Porto Ferreira, SP;-21.8529134;-47.4794943
1657;SP;Poá;524.0751655629139;540.26059602649;551.8669373549884;495.3972157772622;619.0949227373069;Poá, SP;-23.5249082;-46.3445663
1658;SP;Praia Grande;521.4390119250426;534.1943214082908;545.1412371134021;496.4707701637356;602.5667234525838;Praia Grande, SP;-24.005833;-46.402778
1659;SP;Presidente Epitácio;512.63231292517;514.4040816326531;543.3417543859649;489.1235087719299;611.8367346938776;Presidente Epitácio, SP;-21.765074;-52.11114
1660;SP;Presidente Prudente;514.8105431309904;525.5275079872205;554.1840779308028;500.00151158884785;627.7763578274761;Presidente Prudente, SP;-22.1225167;-51.3882528
1661;SP;Presidente Venceslau;509.5182080924855;517.9031791907514;543.5635258358662;497.2276595744681;628.6705202312139;Presidente Venceslau, SP;-21.877116;-51.8451047
1662;SP;Promissão;516.1609374999999;526.8927083333333;554.5326086956521;506.7489130434783;648.0208333333334;Promissão, SP;-21.5404913;-49.8574709
1663;SP;Rancharia;501.27359735973596;517.5039603960396;531.570205479452;493.0191780821918;603.2343234323432;Rancharia, SP;-22.2294981;-50.8922333
1664;SP;Registro;524.261320754717;529.5869272237197;559.4916786226686;498.62410329985653;608.7061994609164;Registro, SP;-24.497942;-47.844895
1665;SP;Ribeirão Pires;524.3948164146868;530.7616630669546;550.1395243488109;498.5426953567384;622.3974082073435;Ribeirão Pires, SP;-23.7129388;-46.4150871
1666;SP;Ribeirão Preto;537.1224328833612;556.257515546792;585.6654839220656;531.7473150641533;677.463976945245;Ribeirão Preto, SP;-21.178333;-47.8066671
1667;SP;Rio Claro;534.8501051156272;553.3387526278907;580.7600299401198;525.920883233533;643.9663629992992;Rio Claro, SP;-22.4100108;-47.5603933
1668;SP;Rio Grande da Serra;511.1532019704434;517.8088669950739;525.6470588235294;476.43101604278075;581.0837438423646;Rio Grande da Serra, SP;-23.743724;-46.397084
1669;SP;Rosana;496.13597883597885;513.9190476190477;517.512972972973;482.7810810810811;610.1587301587301;Rosana, SP;-22.5788641;-53.0552246
1670;SP;Salto;531.5216965742251;545.8223491027732;570.8050000000001;512.3453448275861;644.1435562805873;Salto, SP;-23.1989983;-47.2913682
1671;SP;Salto de Pirapora;518.0858490566037;530.9622641509434;551.7564356435644;501.14950495049504;625.4716981132076;Salto de Pirapora, SP;-23.6492502;-47.5729465
1672;SP;Santa Bárbara d'Oeste;533.3093316519546;546.6392181588903;575.8982917214191;516.1132720105124;645.9016393442623;Santa Bárbara d'Oeste, SP;-22.7542539;-47.4137884
1673;SP;Santa Cruz do Rio Pardo;526.5010230179028;546.2813299232737;568.3284552845529;511.86964769647693;626.4450127877238;Santa Cruz do Rio Pardo, SP;-22.9060715;-49.6277378
1674;SP;Santa Fé do Sul;529.122972972973;535.4815315315315;577.062380952381;517.077619047619;655.3153153153153;Santa Fé do Sul, SP;-20.2106188;-50.9270837
1675;SP;Santa Isabel;523.1429824561403;535.1745614035088;556.7437106918239;500.9827044025157;627.3684210526316;Santa Isabel, SP;-23.3194222;-46.2271903
1676;SP;Santa Rosa de Viterbo;506.34687499999995;519.9684027777778;542.1970695970696;496.81391941391945;593.125;Santa Rosa de Viterbo, SP;-21.4869452;-47.3654908
1677;SP;Santana de Parnaíba;527.904688593422;542.9319804058782;572.924044117647;514.4825735294118;639.9580125962211;Santana de Parnaíba, SP;-23.4446715;-46.9167722
1678;SP;Santo André;534.9663594470046;550.3838391863976;578.107962413452;515.9279591163864;642.167487684729;Santo André, SP;-23.6573395;-46.5322504
1679;SP;Santos;536.4812800480769;552.049609375;583.5320189274448;519.3011356466877;646.6165865384615;Santos, SP;-23.960833;-46.333889
1680;SP;Serrana;513.7425249169435;530.5033222591362;541.5185314685315;497.10244755244753;644.1196013289036;Serrana, SP;-21.2066883;-47.6053774
1681;SP;Sertãozinho;528.2089928057554;541.7918165467626;571.0986817325801;516.2961393596987;648.6330935251799;Sertãozinho, SP;-21.1375782;-47.9913741
1682;SP;Socorro;520.2097276264591;532.7377431906615;564.246186440678;508.1864406779661;618.6770428015565;Socorro, SP;-22.5902619;-46.5249112
1683;SP;Sorocaba;534.9376699395771;550.2974697885196;577.2525592511452;518.1425811591316;639.1616314199396;Sorocaba, SP;-23.5003451;-47.4582864
1684;SP;Sumaré;522.1566690699351;536.6693583273252;554.4730158730159;498.2675736961451;613.5976928622928;Sumaré, SP;-22.8217964;-47.267105
1685;SP;Suzano;522.0385471898197;535.9643160127254;552.478270634475;499.092869174621;623.202545068929;Suzano, SP;-23.5427842;-46.3108391
1686;SP;São Bernardo do Campo;536.0369326325848;550.6057333970377;577.4818030050084;514.7979298831386;646.8800764452939;São Bernardo do Campo, SP;-23.7080345;-46.5506747
1687;SP;São Caetano do Sul;543.1636678200692;559.0214532871972;597.6469396027563;528.9005269558169;659.923106497501;São Caetano do Sul, SP;-23.6195923;-46.5688323
1688;SP;São Carlos;538.6420873124148;557.7092769440656;588.8560311284047;529.0642023346303;678.7653478854024;São Carlos, SP;-22.0180395;-47.891154
